Model,Accuracy,Precision,Recall,F1,AUC-ROC
XGBoost,0.7707594038325053,0.7879773741441103,0.7707594038325053,0.7770289175112657,0.8210403265390478
Stacking_Calibrated,0.7778566359119943,0.7747471474537024,0.7778566359119943,0.7761783260998498,0.8208853238265006
XGBoost_Optimized,0.7686302342086586,0.7846914360790014,0.7686302342086586,0.7746191066345474,0.8282221188870804
CatBoost,0.7686302342086586,0.7846914360790014,0.7686302342086586,0.7746191066345474,0.8276679841897234
Stacking_Optimized,0.7707594038325053,0.778053831377401,0.7707594038325053,0.7739115600401424,0.8232633237748328
Stacking_Ensemble,0.772888573456352,0.7717386079909978,0.772888573456352,0.7722985288904054,0.8212198713477485
SVM,0.7601135557132718,0.797147001135422,0.7601135557132718,0.7705998781038912,0.8234725774367719
LightGBM,0.7650816181689141,0.7757291390158231,0.7650816181689141,0.7694552262963431,0.817949314112997
Random_Forest,0.7608232789212207,0.7821309995507802,0.7608232789212207,0.7682951161214515,0.830385698416389
LightGBM_Optimized,0.7629524485450674,0.7743789111802178,0.7629524485450674,0.7676023629773487,0.8191079593892893
Logistic_Regression,0.759403832505323,0.7829275384031354,0.759403832505323,0.7674222779854871,0.8334960861815082
Decision_Tree,0.7324343506032647,0.7683426564769017,0.7324343506032647,0.7436624716638175,0.7595649590534502
ANN,0.7196593328601846,0.7907552895591505,0.7196593328601846,0.7353048872775432,0.8264615464103956
